Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IA,2002.12,33,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2003.12,106,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2004.12,213,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2005.12,129,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2006.12,168,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2007.12,262,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2008.12,281,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2009.12,103,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2010.12,48,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2011.12,55,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2012.12,42,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2013.12,66,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2014.12,169,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2015.12,443,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2016.12,976,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2017.12,3232,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2018.12,4526,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2019.12,5525,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2020.12,4055,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2021.12,9740,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2022.12,19741,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2023.12,26203,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IA,2024.12,7618,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons up to 850 cc,,,,
TPTA.S22IB,1970.12,20148,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1971.12,22924,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
